source,date,year,location_name,lat,lng,count,notes
CBC,1988,1988,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1989,1989,Fish Springs,36.317,-82.058,,CBC circle 82042; no count conducted
CBC,1989,1989,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1989,1989,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1990,1990,Fish Springs,36.317,-82.058,,CBC circle 82042; no count conducted
CBC,1990,1990,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1990,1990,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,1990,1990,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1991,1991,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1991,1991,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1991,1991,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,1991,1991,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1992,1992,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1992,1992,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1992,1992,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,1992,1992,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1993,1993,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1993,1993,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1993,1993,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,1993,1993,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1994,1994,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1994,1994,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1994,1994,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,1994,1994,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,1994,1994,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1995,1995,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1995,1995,Allens Bridge,36.26,-82.14,,CBC circle 82041; no count conducted
CBC,1995,1995,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,1995,1995,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,1995,1995,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,1995,1995,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1996,1996,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1996,1996,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1996,1996,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,1996,1996,Tellico,35.363,-84.294,,CBC circle 82902; no count conducted
CBC,1996,1996,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,1996,1996,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1997,1997,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1997,1997,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1997,1997,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,1997,1997,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,1997,1997,Mecca,35.3,-84.32,1,CBC circle 82901; detection
CBC,1997,1997,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1998,1998,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1998,1998,Allens Bridge,36.26,-82.14,,CBC circle 82041; no count conducted
CBC,1998,1998,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,1998,1998,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,1998,1998,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,1998,1998,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1999,1999,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1999,1999,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1999,1999,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,1999,1999,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,1999,1999,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,1999,1999,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2000,2000,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2000,2000,Allens Bridge,36.26,-82.14,,CBC circle 82041; no count conducted
CBC,2000,2000,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2000,2000,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,2000,2000,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,2000,2000,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2001,2001,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2001,2001,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2001,2001,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2001,2001,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,2001,2001,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,2001,2001,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2002,2002,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2002,2002,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2002,2002,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2002,2002,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,2002,2002,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,2002,2002,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2003,2003,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2003,2003,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2003,2003,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2003,2003,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,2003,2003,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,2003,2003,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2004,2004,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2004,2004,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2004,2004,Newfound Gap,35.611,-83.425,1,CBC circle 82903; detection
CBC,2004,2004,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,2004,2004,Mecca,35.3,-84.32,1,CBC circle 82901; detection
CBC,2004,2004,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2005,2005,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2005,2005,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2005,2005,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2005,2005,Tellico,35.363,-84.294,1,CBC circle 82902; detection
CBC,2005,2005,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,2005,2005,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2006,2006,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2006,2006,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2006,2006,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2006,2006,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,2006,2006,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,2006,2006,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2007,2007,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2007,2007,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2007,2007,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2007,2007,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,2007,2007,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,2007,2007,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2008,2008,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2008,2008,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2008,2008,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2008,2008,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,2008,2008,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,2008,2008,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2009,2009,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2009,2009,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2009,2009,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2009,2009,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,2009,2009,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,2009,2009,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2010,2010,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2010,2010,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2010,2010,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2010,2010,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,2010,2010,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,2010,2010,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2011,2011,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2011,2011,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2011,2011,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2011,2011,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,2011,2011,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,2011,2011,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2012,2012,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2012,2012,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2012,2012,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2012,2012,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,2012,2012,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,2012,2012,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2013,2013,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2013,2013,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2013,2013,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2013,2013,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,2013,2013,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,2013,2013,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2014,2014,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2014,2014,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2014,2014,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2014,2014,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,2014,2014,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,2014,2014,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2015,2015,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2015,2015,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2015,2015,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2015,2015,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,2015,2015,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,2015,2015,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2016,2016,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2016,2016,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2016,2016,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2016,2016,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,2016,2016,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,2016,2016,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2017,2017,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2017,2017,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2017,2017,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2017,2017,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,2017,2017,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,2017,2017,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2018,2018,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2018,2018,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2018,2018,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2018,2018,Tellico,35.363,-84.294,,CBC circle 82902; no count conducted
CBC,2018,2018,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,2018,2018,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2019,2019,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2019,2019,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2019,2019,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2019,2019,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,2019,2019,Mecca,35.3,-84.32,1,CBC circle 82901; detection
CBC,2019,2019,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2020,2020,Fish Springs,36.317,-82.058,,CBC circle 82042; no count conducted
CBC,2020,2020,Allens Bridge,36.26,-82.14,,CBC circle 82041; no count conducted
CBC,2020,2020,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2020,2020,Tellico,35.363,-84.294,,CBC circle 82902; no count conducted
CBC,2020,2020,Mecca,35.3,-84.32,,CBC circle 82901; no count conducted
CBC,2020,2020,Oliver Springs,36.045,-84.344,,CBC circle 82034; no count conducted
CBC,2021,2021,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2021,2021,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2021,2021,Newfound Gap,35.611,-83.425,2,CBC circle 82903; detection
CBC,2021,2021,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,2021,2021,Mecca,35.3,-84.32,0,CBC circle 82901
CBC,2021,2021,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2022,2022,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,2022,2022,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,2022,2022,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2022,2022,Tellico,35.363,-84.294,0,CBC circle 82902
CBC,2022,2022,Mecca,35.3,-84.32,,CBC circle 82901; no count conducted
CBC,2022,2022,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,2023,2023,Fish Springs,36.317,-82.058,,CBC circle 82042; no count conducted
CBC,2023,2023,Allens Bridge,36.26,-82.14,,CBC circle 82041; no count conducted
CBC,2023,2023,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2023,2023,Tellico,35.363,-84.294,,CBC circle 82902; no count conducted
CBC,2023,2023,Mecca,35.3,-84.32,,CBC circle 82901; no count conducted
CBC,2024,2024,Newfound Gap,35.611,-83.425,0,CBC circle 82903
CBC,2024,2024,Tellico,35.363,-84.294,,CBC circle 82902; no count conducted
eBird,2016-05-29 09:00,2016,Cherokee NF--Panhandle Rd.,36.4475369,-82.0906222,5,eBird observation
eBird,2016-05-30 12:17,2016,US-TN-Tellico Plains-Cherokee National Forest - 35.2020x-84.3333,35.202018,-84.333272,1,eBird observation
eBird,2016-05-31 08:30,2016,Cherokee NF--Unaka Mountain,36.1340402,-82.3095525,1,eBird observation
eBird,2016-06-11 10:05,2016,GRSM_NEON_07.9,35.682835,-83.510683,2,eBird observation
eBird,2016-06-12 06:00,2016,Cherokee NF--Unaka Mountain,36.1340402,-82.3095525,1,eBird observation
eBird,2016-06-13 08:18,2016,Cove Lake SP,36.3074474,-84.2140801,1,eBird observation
eBird,2016-06-16 09:50,2016,Polk Co. KMH FS Road 68A,35.09558,-84.41844,7,eBird observation
eBird,2016-06-24 17:35,2016,Indian Grave Gap Trail/Rich Mountain Loop Trail,35.6240674,-83.8022143,2,eBird observation
eBird,2016-06-25 09:00,2016,Rhodes' Property,36.0376503,-82.5305514,1,eBird observation
eBird,2016-06-27 08:00,2016,Cherohala Skyway - TN section,35.3560162,-84.2725182,3,eBird observation
eBird,2016-07-08 12:00,2016,Great Smoky Mountains NP--Kuwohi (TN) (formerly Clingman’s Dome),35.563225,-83.4983621,1,eBird observation
eBird,2016-07-12 08:30,2016,Cherokee NF--Unaka Mountain,36.1340402,-82.3095525,4,eBird observation
eBird,2016-07-15 11:10,2016,Bluff Mountain,35.8125235,-83.671875,1,eBird observation
eBird,2016-08-01 09:00,2016,Bluff Mountain,35.8125235,-83.671875,1,eBird observation
eBird,2016-08-11 09:45,2016,Cherokee NF--Whigg Meadow,35.3091368,-84.0393162,1,eBird observation
eBird,2016-10-13 13:00,2016,Roan Road,36.1719102,-82.0900646,1,eBird observation
eBird,2016-10-20 15:49,2016,Great Smoky Mountains NP--Cades Cove--Sparks Ln.,35.6001938,-83.794188,2,eBird observation
eBird,2016-10-27 04:58,2016,"35.6664x-83.5850 - Oct 27, 2016, 5:02 PM Elkmont Cemetery TN",35.666423,-83.584964,1,eBird observation
eBird,2016-11-27 11:04,2016,Seeber Cr/Granny Cr,36.0905013,-84.2984632,1,eBird observation
eBird,2016-12-17 07:33,2016,GSMNP Husky Gap trail,35.6635838,-83.5264244,1,eBird observation
eBird,2017-01-15 09:05,2017,Polk Co. Cherokee National Forest,35.12577,-84.61712,1,eBird observation
eBird,2017-01-20 16:45,2017,Near top of Alum Cave Trail,35.6517867,-83.4446597,1,eBird observation
eBird,2017-01-27 12:30,2017,Grapeyard Ridge Trail,35.7084683,-83.3941832,1,eBird observation
eBird,2017-02-12 10:10,2017,Great Smoky Mountains NP--Old Settlers Trail,35.7346342,-83.3698978,1,eBird observation
eBird,2017-03-12 18:45,2017,US-Tennessee-Gatlinburg-515 Parsons Branch Way - 35.713x-83.495,35.7134329,-83.4947606,1,eBird observation
eBird,2017-03-25 08:45,2017,Polk Co. Big Frog Trail,35.0545545,-84.501296,1,eBird observation
eBird,2017-04-01 09:00,2017,Del Rio,35.9198,-83.02567,1,eBird observation
eBird,2017-04-04 13:10,2017,Great Smoky Mountains NP--Kuwohi (TN) (formerly Clingman’s Dome),35.563225,-83.4983621,1,eBird observation
eBird,2017-04-09 07:30,2017,Bluff Mountain,35.8125235,-83.671875,1,eBird observation
eBird,2017-04-13 07:00,2017,Great Smoky Mt. NP--Fighting Creek Gap Road,35.6783288,-83.560619,1,eBird observation
eBird,2017-04-15 08:55,2017,Polk Co. Big Frog Trail,35.0545545,-84.501296,1,eBird observation
eBird,2017-04-16 11:30,2017,Great Smoky Mountains NP--Charlie's Bunion Trail,35.6148139,-83.4148979,2,eBird observation
eBird,2017-04-19 08:30,2017,Hampton Creek Cove SNA,36.1470008,-82.0491397,1,eBird observation
eBird,2017-04-20 13:45,2017,Cherokee NF---Beauty Spot,36.1177137,-82.3332017,1,eBird observation
eBird,2017-04-22 16:20,2017,Great Smoky Mountains NP--Charlie's Bunion Trail,35.6148139,-83.4148979,1,eBird observation
eBird,2017-04-25 08:12,2017,Cherokee NF--Dry Creek Rd.,36.2354923,-82.3927005,1,eBird observation
eBird,2017-04-30 08:45,2017,Bluff Mountain,35.8125235,-83.671875,2,eBird observation
eBird,2017-05-12 08:45,2017,Bays Mountain Park (KBT),36.5118721,-82.6080395,1,eBird observation
eBird,2017-05-14 11:50,2017,"Pressman's Home, Route 94",36.4490246,-83.0574024,1,eBird observation
eBird,2017-05-30 10:10,2017,Polk Co. Big Frog Trail,35.0545545,-84.501296,1,eBird observation
eBird,2017-06-03 15:13,2017,"Benton MacKaye Trail, Cherohala Skyway",35.3103579,-84.042449,1,eBird observation
eBird,2017-06-09 11:13,2017,"4444 Barnes Hollow Road, Cosby, TN, USA",35.7936218,-83.1437341,1,eBird observation
eBird,2017-06-10 06:44,2017,Cherokee NF--Pond Mountain (Laurel Fork Road),36.266527,-82.0804777,6,eBird observation
eBird,2017-06-14 08:00,2017,"Timber Cruising, Unicoi",36.1503854,-82.2580773,1,eBird observation
eBird,2017-06-17 15:30,2017,Great Smoky Mountains NP--Charlie's Bunion Trail,35.6148139,-83.4148979,1,eBird observation
eBird,2017-06-29 11:00,2017,Great Smoky Mountains NP--Chimneys Picnic Area,35.6367033,-83.4890767,1,eBird observation
eBird,2017-07-02 16:15,2017,"Cherokee National Forest, Del Rio US-TN (35.8228,-82.9570)",35.822795,-82.956955,1,eBird observation
eBird,2017-07-11 08:55,2017,Cherokee National Forest--Panhandle Rd. Holston Mtn.,36.4423262,-82.0868397,1,eBird observation
eBird,2017-07-28 09:25,2017,Cherokee NF--Carver's Gap,36.107248,-82.1105369,1,eBird observation
eBird,2017-08-23 11:05,2017,"Great Smoky Mountains National Park Blount County, US-TN ",35.653016,-83.51411,1,eBird observation
eBird,2017-09-04 10:45,2017,GSMNP- Beard Cane trail,35.6551343,-83.8548499,1,eBird observation
eBird,2017-09-10 11:32,2017,Jerry Paul,35.8204231,-83.3563507,1,eBird observation
eBird,2017-09-16 08:22,2017,Cherokee NF--Whigg Meadow,35.3091368,-84.0393162,1,eBird observation
eBird,2017-09-24 13:30,2017,Big Bald Raptor Blind,35.9958678,-82.4836135,1,eBird observation
eBird,2017-09-25 07:30,2017,Great Smoky Mountains NP--Trillium Gap Trail,35.6738477,-83.4494806,2,eBird observation
eBird,2017-09-30 06:15,2017,Cherokee NF--Roan Creek,36.3756685,-81.9382238,1,eBird observation
eBird,2017-10-06 13:35,2017,"Appalachian Trail, Roan Mountain, Tennessee, US (36.108, -82.075)",36.1082556,-82.0752777,1,eBird observation
eBird,2017-10-14 12:15,2017,Bluff Mountain,35.8125235,-83.671875,1,eBird observation
eBird,2017-10-17 18:49,2017,Great Smoky Mountains NP--Kuwohi (TN) (formerly Clingman’s Dome),35.563225,-83.4983621,1,eBird observation
eBird,2017-10-31 08:40,2017,Bird Branch in Greenbrier,35.7178416,-83.3685064,2,eBird observation
eBird,2017-11-17 11:00,2017,Cherokee NF--Unaka Mountain,36.1340402,-82.3095525,1,eBird observation
eBird,2017-11-24 11:41,2017,Rocky Fork State Park--Rocky Fork Trail ,36.048552,-82.562922,1,eBird observation
eBird,2017-12-02 13:00,2017,off trail hike along Mill Creek,35.5769375,-83.828825,1,eBird observation
eBird,2017-12-12 10:25,2017,Great Smoky Mountains NP--Cades Cove,35.5990797,-83.8084269,1,eBird observation
eBird,2018-02-01 15:15,2018,Injun Creek,35.7257146,-83.405596,1,eBird observation
eBird,2018-02-18 11:00,2018,Big Bald,35.99389,-82.48373,1,eBird observation
eBird,2018-04-11 09:30,2018,Bluff Mountain,35.8125235,-83.671875,1,eBird observation
